Date,Town,City,Clouds,"Temp C","Humidity %","Wind mph","Wind Direction",Sunrise,Sunset
2024-04-10, Montroy, ES, clear sky, 20, 32%, 6.0, E, 07:32, 20:34
2024-04-11, Montroy, ES, broken clouds, 11.7, 66%, 5.0, NNW, 07:30, 20:35
2024-04-11, Montroy, ES, scattered clouds, 18.2, 52%, 9.0, E, 07:30, 20:35
2024-04-11, Montroy, ES, clear sky, 18.4, 35%, 6.0, NE, 07:30, 20:35
2024-04-12, Montroy, ES, clear sky, 9.9, 60%, 3.0, SSW, 07:29, 20:36
2024-04-12, Montroy, ES, clear sky, 22.1, 36%, 5.0, SSE, 07:29, 20:36
2024-04-12, Montroy, ES, clear sky, 22.6, 32%, 7.0, E, 07:29, 20:36
2024-04-13, Montroy, ES, clear sky, 12.1, 50%, 4.0, WNW, 07:27, 20:37
2024-04-13, Montroy, ES, clear sky, 24, 28%, 5.0, S, 07:27, 20:37
2024-04-13, Montroy, ES, clear sky, 24.6, 24%, 9.0, E, 07:27, 20:37
2024-04-14, Montroy, ES, clear sky, 12.5, 55%, 2.0, W, 07:26, 20:38
2024-04-14, Montroy, ES, clear sky, 25.5, 28%, 5.0, E, 07:26, 20:38
2024-04-14, Montroy, ES, clear sky, 23.8, 32%, 10.0, E, 07:26, 20:38
2024-04-15, Montroy, ES, few clouds, 15.1, 46%, 2.0, SW, 07:24, 20:39
2024-04-15, Montroy, ES, overcast clouds, 23.9, 32%, 5.0, E, 07:24, 20:39
2024-04-15, Montroy, ES, broken clouds, 23.3, 35%, 3.0, ENE, 07:24, 20:39
2024-04-16, Montroy, ES, clear sky, 13.4, 59%, 4.0, W, 07:23, 20:40
2024-04-16, Montroy, ES, clear sky, 22.1, 38%, 6.0, E, 07:23, 20:40
2024-04-16, Montroy, ES, clear sky, 18.5, 45%, 10.3, ENE, 07:23, 20:40
2024-04-17, Montroy, ES, clear sky, 12.7, 88%, 3.0, WNW, 07:22, 20:41
2024-04-17, Montroy, ES, clear sky, 19.3, 38%, 6.9, E, 07:22, 20:41
